stt,Gender,Class,Grade_level,school_type,Sib,fa_job,mo_job,income,exam,Self_evaluation,English,Lh_before_Cov,Lh_in_Cov,Total_Online,LHInstruction,LH_w_Instruction,onl_instr,onl_noninstr,Total_offline,off_instr,off_noninstr,nec_prog,nec_habit,nec_teacher,nec_parent,nec_sib,nec_friend,eff_moti,eff_con,eff_supp,eff_env,eff_obj,eff_resource,eff_friend,kno_med,kno_covid,kno_env,kno_soci,kno_elearn
390,2,4,1,1,4,3,4,1,1,3,2,2,2,3,0,6,0,3,3,0,3,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5
391,1,2,1,3,2,2,2,3,3,3,3,1,2,5,0,7,0,5,2,0,2,4,5,4,5,5,3,4,4,5,5,5,5,5,5,5,5,4,4
392,1,4,1,3,2,2,2,5,2,4,3,1,1,2,2,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
393,1,5,2,1,2,2,4,2,2,2,2,1,1,3,0,3,0,3,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
394,2,5,2,1,2,2,4,1,5,2,1,1,1,2,1,3,1,1,2,0,2,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4
395,2,5,2,1,2,1,2,3,5,2,2,1,1,2,0,4,0,2,2,0,2,4,4,4,4,4,4,3,3,4,3,3,4,4,3,3,3,3,3
396,2,5,2,1,2,2,2,2,5,2,2,1,1,0,0,2,0,0,2,0,2,4,4,4,4,2,2,2,3,4,4,3,4,2,4,4,2,2,3
397,2,5,2,1,3,2,4,2,5,4,3,1,1,0,0,1,0,0,1,0,1,3,3,4,3,3,3,2,2,2,3,3,2,3,4,4,4,4,2
398,1,5,2,1,2,3,3,1,6,1,1,1,1,4,4,4,2,2,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5
399,2,1,1,3,4,2,2,3,5,2,3,1,1,2,2,0,2,0,0,0,0,3,2,4,4,1,1,2,3,5,3,3,3,3,3,4,4,4,4
400,1,4,1,3,1,2,2,3,2,3,3,1,2,2,2,5,2,0,5,0,5,1,1,4,4,4,4,3,3,2,1,1,1,3,1,2,1,1,4
401,1,4,1,3,2,2,2,5,6,3,3,3,3,10,7,6,7,3,3,0,3,3,3,4,4,2,3,4,3,4,4,4,4,3,2,2,4,2,4
402,1,4,1,3,2,2,2,3,2,3,3,2,2,3,3,4,2,1,4,1,3,1,1,1,1,4,3,1,1,1,2,1,1,1,1,1,1,1,1
403,2,5,2,1,2,1,1,5,4,2,2,1,2,5,3,5,1,4,3,2,1,4,4,3,5,2,3,4,4,4,3,4,2,5,5,5,5,5,3
404,1,4,1,1,2,2,1,6,2,3,3,2,2,2,4,4,2,0,6,2,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
405,2,5,2,1,3,2,2,2,5,2,3,1,1,0,0,1,0,0,1,0,1,4,4,4,3,3,3,3,3,3,4,3,3,3,4,4,4,3,3
406,1,5,2,1,1,3,3,2,5,3,3,1,1,2,1,2,1,1,1,0,1,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
407,2,4,1,3,3,1,3,3,2,3,3,1,2,3,3,2,2,1,2,1,1,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5
408,2,5,2,1,2,2,2,2,5,2,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
409,2,6,2,1,2,3,4,2,5,4,3,2,3,10,5,10,5,5,5,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
410,1,5,2,1,4,3,3,2,3,3,2,1,1,2,1,2,1,1,1,0,1,4,4,4,4,4,3,3,3,4,3,3,4,3,4,4,4,4,3
411,2,6,2,1,4,3,3,3,5,3,2,2,2,6,0,6,0,6,0,0,0,4,4,4,5,4,3,4,3,4,3,4,4,3,5,5,5,5,5
412,1,6,2,1,2,4,2,1,5,3,3,1,1,0,0,1,0,0,1,0,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
413,3,6,2,1,2,1,2,2,5,3,3,1,1,0,7,10,0,0,17,7,10,4,4,3,4,4,4,2,2,3,2,2,4,3,2,2,2,2,2
414,2,4,1,3,2,1,2,6,5,3,3,2,3,2,4,6,2,0,8,2,6,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,3,3,4
415,1,4,1,3,2,1,2,3,2,4,4,1,2,5,3,4,3,2,2,0,2,5,5,1,1,1,1,5,3,4,5,4,5,5,5,5,3,3,3
416,2,6,2,2,2,1,2,2,3,4,4,2,1,2,0,3,0,2,1,0,1,4,4,3,2,2,4,2,2,2,4,3,4,5,5,5,3,4,3
417,2,4,1,3,3,2,2,2,2,4,2,1,2,5,2,6,2,3,3,0,3,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5
418,1,2,1,3,2,2,2,6,6,3,3,2,2,1,0,2,0,1,1,0,1,4,3,4,4,3,3,4,3,2,4,4,4,3,3,4,4,3,3
419,2,4,1,2,2,2,2,2,5,2,3,1,1,2,1,1,1,1,0,0,0,4,4,3,3,2,2,3,3,4,3,3,4,4,4,4,3,3,2
420,1,2,1,2,2,2,2,3,1,3,3,1,2,4,2,4,2,2,2,0,2,4,4,4,4,4,4,4,4,4,2,2,3,3,4,4,3,3,4
421,2,4,1,3,2,3,2,3,6,2,2,1,1,0,0,0,0,0,0,0,0,1,4,1,1,4,4,3,3,2,1,1,4,4,1,1,4,4,4
422,2,6,2,1,4,3,2,6,5,3,3,1,1,3,0,6,0,3,3,0,3,4,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4
423,1,6,2,1,3,4,4,2,1,2,1,1,2,5,0,5,0,5,0,0,0,4,4,3,3,3,3,4,2,2,3,3,4,2,3,4,3,3,3
424,1,1,1,3,4,1,2,1,6,2,3,1,1,4,5,2,3,1,3,2,1,4,4,5,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5
425,1,6,2,2,2,2,2,2,6,3,4,1,1,0,0,1,0,0,1,0,1,4,4,3,1,1,1,2,4,1,3,5,5,1,2,5,4,4,1
