stt,Gender,Class,Grade_level,school_type,Sib,fa_job,mo_job,income,exam,Self_evaluation,English,Lh_before_Cov,Lh_in_Cov,Total_Online,LHInstruction,LH_w_Instruction,onl_instr,onl_noninstr,Total_offline,off_instr,off_noninstr,nec_prog,nec_habit,nec_teacher,nec_parent,nec_sib,nec_friend,eff_moti,eff_con,eff_supp,eff_env,eff_obj,eff_resource,eff_friend,kno_med,kno_covid,kno_env,kno_soci,kno_elearn
251,2,6,2,1,2,2,2,3,5,3,3,1,1,0,1,2,0,0,3,1,2,4,4,4,3,1,4,3,3,3,4,3,4,3,4,4,3,3,4
252,2,4,1,1,2,2,2,4,5,2,2,1,1,3,0,6,0,3,3,0,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3
253,2,4,1,1,2,1,3,2,5,3,2,1,1,0,2,2,0,0,4,2,2,4,4,4,3,2,2,3,3,2,4,2,5,5,4,4,4,3,4
254,2,6,2,1,2,2,2,2,2,3,2,1,1,2,1,2,1,1,1,0,1,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4
255,2,4,1,1,2,3,2,1,5,2,3,1,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,2,1,3,2,1,1,1,1,1
256,1,6,2,2,4,2,2,4,5,3,3,1,1,1,0,2,0,1,1,0,1,5,4,3,4,3,3,4,4,2,4,3,3,2,3,4,2,1,1
257,2,6,2,1,2,1,2,2,5,3,3,2,3,3,0,8,0,3,5,0,5,5,5,4,4,4,3,4,4,3,4,4,4,3,4,4,3,3,4
258,2,4,1,1,3,3,3,1,4,3,1,1,1,0,0,1,0,0,1,0,1,4,4,4,4,4,3,4,2,2,2,2,2,2,4,4,4,3,3
259,2,4,1,1,4,1,2,2,5,2,2,1,1,1,0,1,0,1,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
260,1,4,1,1,2,1,1,1,5,3,3,1,1,4,4,4,2,2,4,2,2,5,5,5,5,5,5,4,3,3,3,3,3,3,4,4,4,4,4
261,2,4,1,1,2,1,4,1,5,3,3,1,2,4,2,5,2,2,3,0,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3
262,2,6,2,1,2,2,2,4,5,4,4,1,2,0,0,6,0,0,6,0,6,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3
263,1,4,1,1,2,4,2,2,5,4,2,1,1,1,0,3,0,1,2,0,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1
264,2,4,1,1,3,3,3,1,5,3,1,1,1,1,1,11,1,0,11,0,11,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4
265,2,6,2,1,2,4,2,4,5,2,3,1,1,0,2,0,0,0,2,2,0,4,4,4,4,4,4,2,2,4,4,2,4,1,5,5,5,5,4
266,2,4,1,1,4,1,2,2,5,2,3,1,1,4,5,4,2,2,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
267,2,4,1,1,2,3,2,2,6,3,1,1,1,1,0,2,0,1,1,0,1,4,4,4,4,4,4,3,4,2,2,2,2,2,4,4,4,4,3
268,2,6,2,1,2,1,3,2,5,2,2,1,2,4,1,4,1,3,1,0,1,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3
269,1,6,2,1,2,2,4,1,5,3,3,1,1,0,2,1,0,0,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
270,1,6,2,1,1,2,2,6,5,4,4,1,1,2,0,4,0,2,2,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
271,2,1,1,2,2,2,4,3,5,3,3,2,2,4,2,4,2,2,2,0,2,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,4
272,3,5,2,2,2,2,2,6,2,3,3,2,2,12,5,11,5,7,4,0,4,4,4,3,4,1,5,4,3,4,4,3,5,5,5,5,5,5,5
273,3,5,2,2,2,2,2,6,2,3,3,1,2,18,12,9,12,6,3,0,3,3,4,3,4,4,5,4,3,4,4,3,5,5,5,4,5,5,3
274,1,4,1,3,2,2,2,3,2,4,3,1,1,1,0,3,0,1,2,0,2,5,4,5,5,1,3,3,3,4,3,3,3,1,4,4,2,2,2
275,2,5,2,1,1,2,4,2,5,4,4,1,1,0,0,0,0,0,0,0,0,3,1,3,3,3,3,1,1,1,3,2,3,3,5,4,3,1,1
276,2,6,2,1,2,2,2,3,6,3,4,1,1,1,0,3,0,1,2,0,2,4,4,1,1,1,1,2,4,2,3,4,4,4,4,4,5,5,3
277,2,5,2,2,2,1,2,6,6,2,2,1,1,0,0,1,0,0,1,0,1,4,3,3,3,4,4,2,3,2,2,4,3,4,4,4,2,2,3
278,2,4,1,1,3,1,1,2,5,2,2,1,1,2,2,2,1,1,2,1,1,2,2,4,4,4,1,2,2,2,2,2,2,2,4,4,4,3,3
279,1,5,2,2,4,1,2,2,2,2,1,2,2,1,0,4,0,1,3,0,3,4,4,4,4,4,4,2,1,2,3,3,3,2,4,4,2,2,1
280,1,4,1,1,2,4,4,1,5,3,2,1,1,1,0,2,0,1,1,0,1,4,4,1,1,1,3,3,4,1,1,4,1,1,4,4,4,4,3
281,2,4,1,1,3,1,3,1,5,2,1,1,3,1,0,2,0,1,1,0,1,4,4,4,4,4,3,3,3,2,4,2,3,1,2,4,4,4,4
282,2,6,2,1,1,4,3,2,5,3,2,1,1,0,3,2,0,0,5,3,2,4,4,3,4,4,3,3,2,4,4,3,4,3,4,4,3,3,3
283,2,4,1,1,1,1,2,2,5,3,2,1,1,4,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
284,1,4,1,1,4,4,4,2,2,3,2,1,2,4,3,2,3,1,1,0,1,4,4,5,5,5,4,4,3,4,2,4,5,5,4,5,5,4,5
285,2,2,1,3,2,1,2,3,4,3,2,1,1,2,4,0,2,0,2,2,0,5,4,5,5,4,3,4,3,5,5,4,5,3,4,3,4,4,5
286,2,6,2,1,2,1,2,3,5,3,2,2,3,9,4,6,4,5,1,0,1,1,4,1,1,1,4,1,4,1,4,4,4,4,1,1,4,4,4
287,1,4,1,3,3,2,2,5,2,3,2,2,3,10,2,16,2,8,8,0,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
288,2,3,1,3,3,2,2,4,6,2,3,1,2,6,8,4,4,2,6,4,2,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4
289,2,6,2,2,2,2,2,5,5,3,4,1,2,4,1,7,0,4,4,1,3,1,1,1,3,1,1,1,1,3,1,3,1,1,4,4,4,4,4
290,2,6,2,1,4,1,4,2,5,3,3,1,2,1,1,4,1,0,4,0,4,4,4,4,4,4,4,4,3,3,4,4,4,2,4,4,3,3,3
291,1,4,1,1,2,1,4,3,5,3,1,1,1,0,0,2,0,0,2,0,2,5,5,5,5,5,5,3,4,4,4,3,3,3,4,5,4,4,1
292,2,6,2,1,4,1,2,4,1,4,2,1,2,2,4,2,2,0,4,2,2,4,2,3,3,1,1,2,2,2,4,3,4,2,4,3,3,3,3
293,1,6,2,1,2,3,1,2,5,3,3,1,1,0,1,0,0,0,1,1,0,5,4,5,4,3,3,3,3,3,4,4,4,3,5,5,5,5,3
294,2,6,2,1,2,3,2,2,5,3,3,1,2,2,0,4,0,2,2,0,2,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5
295,1,4,1,1,2,3,3,2,5,3,3,1,1,1,0,2,0,1,1,0,1,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
296,1,2,1,3,2,2,2,2,3,3,2,1,1,3,1,3,0,3,1,1,0,3,4,4,4,4,4,4,3,4,4,4,5,4,5,5,4,4,4
297,2,3,1,2,3,3,4,2,4,3,2,2,2,1,2,5,0,1,6,2,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4
298,1,1,1,3,3,3,4,3,2,3,3,1,1,2,3,3,1,1,4,2,2,4,4,5,5,4,5,4,4,4,4,4,4,4,5,5,5,5,3
299,1,4,1,1,2,2,2,2,3,3,3,1,2,1,6,5,1,0,10,5,5,5,5,4,5,4,1,5,3,4,5,5,4,1,4,4,3,4,1
300,1,4,1,2,2,2,2,4,2,3,3,2,2,0,3,4,0,0,7,3,4,4,4,4,5,1,3,3,4,4,2,3,4,2,4,5,3,3,2
301,2,4,1,1,3,2,2,3,5,3,3,1,1,1,0,1,0,1,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
302,2,6,2,1,2,1,2,3,5,2,3,1,2,5,1,7,1,4,3,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
303,2,4,1,1,2,3,2,3,5,2,2,1,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4
304,2,6,2,1,2,1,1,2,6,3,3,1,1,1,0,2,0,1,1,0,1,5,5,4,4,3,3,4,4,3,4,2,4,2,4,3,3,3,3
305,2,4,1,1,2,1,4,2,5,3,1,2,1,4,0,8,0,4,4,0,4,4,3,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4
306,2,4,1,1,2,1,2,2,5,2,2,1,1,0,0,2,0,0,2,0,2,5,4,4,4,4,4,3,4,2,4,3,4,2,5,5,2,2,4
307,2,6,2,1,3,3,3,2,5,3,2,2,2,4,0,8,0,4,4,0,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4
308,2,3,1,2,2,2,2,1,6,2,2,1,1,3,3,2,3,0,2,0,2,3,4,2,3,1,5,4,4,1,3,1,1,5,1,1,1,1,3
309,1,6,2,1,2,3,3,2,1,3,3,1,1,1,1,0,1,0,0,0,0,4,3,3,4,4,3,3,3,3,3,3,4,2,4,4,4,4,4
310,1,4,1,1,2,2,2,1,1,3,1,1,1,2,0,2,0,2,0,0,0,3,3,2,4,4,1,2,3,4,3,3,3,3,1,1,1,1,1
311,1,5,2,1,4,2,2,1,2,3,3,1,3,0,0,10,0,0,10,0,10,4,3,4,4,4,3,4,3,5,4,3,3,4,4,3,4,4,2
312,1,5,2,1,2,1,2,3,5,3,2,1,1,2,0,4,0,2,2,0,2,5,5,5,5,5,5,4,4,2,4,4,5,5,4,4,4,4,4
313,2,5,2,1,2,2,2,2,5,3,2,2,2,0,0,4,0,0,4,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
314,2,5,2,1,2,2,2,2,5,2,1,1,2,0,0,4,0,0,4,0,4,5,4,1,1,1,1,3,2,1,2,4,4,2,5,5,4,3,1
315,2,6,2,2,3,4,2,6,6,3,3,1,1,2,0,4,0,2,2,0,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3
316,2,6,2,1,2,2,2,2,5,3,3,1,2,0,0,5,0,0,5,0,5,5,4,2,4,1,1,4,3,2,4,4,5,2,1,3,2,2,2
317,1,5,2,1,4,3,3,2,5,3,3,1,1,2,4,1,2,0,3,2,1,4,3,3,3,3,2,3,4,3,4,3,3,4,5,5,5,5,5
318,2,4,1,1,4,1,1,1,5,2,2,1,1,0,4,3,0,0,7,4,3,4,4,3,3,3,3,4,4,4,4,4,4,3,5,4,4,4,4
319,2,5,2,1,2,2,2,3,5,3,2,2,2,1,0,4,0,1,3,0,3,4,4,4,2,2,2,3,4,1,3,4,4,1,4,4,4,4,2
320,1,5,2,1,2,4,2,2,6,3,3,1,1,2,0,4,0,2,2,0,2,4,4,4,3,2,4,3,3,3,4,3,4,3,4,4,4,4,3
321,2,5,2,1,4,3,3,2,6,3,3,1,1,0,0,10,0,0,10,0,10,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4
322,2,5,2,1,4,1,4,2,5,3,3,1,1,0,1,1,0,0,2,1,1,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
323,2,5,2,1,2,1,2,2,5,1,2,1,1,7,0,14,0,7,7,0,7,5,5,5,4,5,5,3,3,3,3,3,3,3,5,5,5,5,1
324,1,5,2,1,3,1,2,2,5,2,3,1,1,2,0,4,0,2,2,0,2,4,3,3,3,3,3,4,2,2,3,2,3,4,4,4,2,2,2
325,2,5,2,1,4,2,2,2,5,2,1,1,3,3,3,4,1,2,4,2,2,3,4,3,3,3,1,4,4,2,4,4,4,3,3,3,4,4,3
326,2,5,2,1,2,1,2,2,5,3,2,2,2,5,1,9,1,4,5,0,5,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,3
327,2,5,2,1,2,3,3,2,5,2,1,2,1,5,4,6,2,3,5,2,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3
328,1,6,2,2,4,1,1,4,1,4,4,1,1,2,0,4,0,2,2,0,2,4,3,2,2,2,2,4,4,2,1,2,4,2,4,4,4,4,2
329,2,5,2,1,4,2,2,2,5,2,2,1,1,2,0,4,0,2,2,0,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
330,2,5,2,1,2,3,1,2,6,2,1,1,2,3,4,2,2,1,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
331,2,5,2,1,2,3,4,1,5,3,4,1,1,2,2,2,0,2,2,2,0,4,4,2,2,2,2,3,4,4,4,4,4,3,4,4,2,2,4
332,2,5,2,1,2,3,3,1,5,3,3,1,2,5,0,6,0,5,1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
333,1,4,1,1,4,2,2,1,1,4,4,2,2,7,8,5,5,2,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
334,2,5,2,1,4,4,4,2,6,2,2,1,1,0,0,3,0,0,3,0,3,5,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4
335,1,5,2,1,2,3,2,3,2,3,3,1,1,0,1,0,0,0,1,1,0,4,4,4,4,4,3,3,3,4,4,3,4,3,4,4,3,3,3
336,2,1,1,3,2,2,2,5,6,3,2,2,2,5,1,7,1,4,3,0,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4
